収支区分,取引口座,カードラベル,取引内容,マッチ条件,金額（最小値）,金額（最大値）,優先度,マッチ後のアクション,振替口座,取引テンプレート,購入データ原本に準拠,取引先,適格請求書等,勘定科目,税区分,品目,部門,メモタグ（複数指定可・カンマ区切り）,セグメント1,セグメント2,セグメント3,備考,消込を実行する際の差額,差額金額の設定（消込の過小入金・出金）,勘定科目（消込の過小入金・出金）,税区分（消込の過小入金・出金）,品目（消込の過小入金・出金）,部門（消込の過小入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金）,セグメント1（消込の過小入金・出金）,セグメント2（消込の過小入金・出金）,セグメント3（消込の過小入金・出金）,備考（消込の過小入金・出金）,勘定科目（消込の過小入金・出金の複合差額）,税区分（消込の過小入金・出金の複合差額）,品目（消込の過小入金・出金の複合差額）,部門（消込の過小入金・出金の複合差額）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金の複合差額）,セグメント1（消込の過小入金・出金の複合差額）,セグメント2（消込の過小入金・出金の複合差額）,セグメント3（消込の過小入金・出金の複合差額）,備考（消込の過小入金・出金の複合差額）,差額金額の設定（消込の過剰入金・出金）,勘定科目（消込の過剰入金・出金）,税区分（消込の過剰入金・出金）,品目（消込の過剰入金・出金）,部門（消込の過剰入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過剰入金・出金）,セグメント1（消込の過剰入金・出金）,セグメント2（消込の過剰入金・出金）,セグメント3（消込の過剰入金・出金）,備考（消込の過剰入金・出金）
支出,,,【商品本体】 ハンバーガー用テイクアウト紙容器・紙箱 EC6 白 800入 （消費税率10％） （注文番号:249-6546201-2832658）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:249-6546201-2832658）（適格）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 クレセル 冷蔵庫用温度計 アナログ AP-61 吸盤付き AP-61 （消費税率10％） （注文番号:250-9553108-1015002）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9553108-1015002）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 クレセル 冷蔵庫用温度計 アナログ AP-61 吸盤付き AP-61 （消費税率10％） （注文番号:250-9553108-1015002）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9553108-1015002）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 壁紙 木目 10m おしゃれ はがせる 壁紙シール 白 厚手 透けない 木目調 カッティングシート、防水 簡単 diy キッチン 家具用リメイクシート（ホワイト木目調 幅44cmX10m） （消費税率10％） （注文番号:250-2088968-1859065）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-2088968-1859065）（免税）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 TP-Link Tapo 防犯カメラ ペットカメラ 屋外 ソーラー 監視カメラ みまもりカメラ 見守りカメラ スマホ対応 太陽光 Wi-Fi 4K 8MP 800万画素 パン/チルト 360°AI検知 フルカラー IP65 防水防塵 音声通話 Tapo C660 KIT【Amazon.co.jp限定】 （消費税率10％） （注文番号:250-3504704-9446257）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3504704-9446257）（適格）,,消耗品費,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 TP-Link Tapo みまもりカメラ ペットカメラ ベビーモニター 顔認識 顔AI検知 4K 8MP 800万画素 双方向音声 パン/チルト 360° AI検知 自動追尾 ナイトビジョン セキュリティ対策 iphone/スマホ対応 メーカー保証3年 Tapo C260/A （消費税率10％） （注文番号:250-3504704-9446257）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3504704-9446257）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 透けない 壁紙 おしゃれ はがせる 壁紙シール 白 厚手 木目調 カッティングシート、防水 簡単 diy キッチン 家具用リメイクシート（ホワイト木目調 幅60cmX10m） （消費税率10％） （注文番号:250-2088968-1859065）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-2088968-1859065）（免税）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Snowon led看板 電飾看板 光る看板 掲示板 屋外 a型 スタンド 立て看板 手書き 7色点滅 8色マーカー付 デジタルサイネージ 黒板 ネオン 飲食店 カフェ メニューボード DIYメッセージ 60×80cm （消費税率10％） （注文番号:250-4487479-4446235）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-4487479-4446235）（適格）,,会議費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Snowon led看板 電飾看板 光る看板 掲示板 屋外 a型 スタンド 立て看板 手書き 7色点滅 8色マーカー付 デジタルサイネージ 黒板 ネオン 飲食店 カフェ メニューボード DIYメッセージ 60×80cm （消費税率10％） （注文番号:250-4487479-4446235）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-4487479-4446235）（適格）,,会議費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Snowon led看板 電飾看板 光る看板 掲示板 屋外 a型 スタンド 立て看板 手書き 7色点滅 8色マーカー付 デジタルサイネージ 黒板 ネオン 飲食店 カフェ メニューボード DIYメッセージ 60×80cm （消費税率10％） （注文番号:250-4487479-4446235）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-4487479-4446235）（適格）,,会議費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,"【商品本体】 HSHBGS カフェドアーズ 木製 両開き スイングドア 両方向に開く パティオ フェンスゲート 自動閉鎖 カウンタードア キッチンドアヒンジ付き パーティションドア 廊下 台所 戸口棒カウボーイのドア(ホワイト,幅90x高さ90cm) （消費税率10％） （注文番号:250-2650254-1098262）（免税）",完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-2650254-1098262）（免税）,,会議費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,日本ニーダー オンラインショップ,完全一致,,,0,取引を推測する,,,,日本ニーダー オンラインショップ,,新聞図書費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 【ママパン】キューブチョコレート M10T 240g 製菓用チョコレート チョコ マフィン トッピングケーキ （消費税率軽減8％） （注文番号:249-1919858-1694205）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:249-1919858-1694205）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 【ママパン】キューブチョコレート M10T 240g 製菓用チョコレート チョコ マフィン トッピングケーキ （消費税率軽減8％） （注文番号:249-1919858-1694205）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:249-1919858-1694205）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 MAXZEN 冷蔵庫 415L 大容量 自動霜取り 観音開き 4ドア 幅79cm 二人暮らし 霜取り不要 静音 チルド ドア閉め忘れアラーム 奥行薄型 コンパクト 白 ホワイト JR415ML01 マクスゼン （消費税率10％） （注文番号:250-9399195-8687831）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9399195-8687831）（適格）,,旅費交通費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 MAXZEN 冷凍庫 上開き 371L 大容量 温度調節可能 冷蔵冷凍切り替え バスケット付き 鍵付き ノンフロン 庫内灯 業務用 家庭用 節電 冷凍ストッカー 冷凍食品保存 ホワイト 白 MF371HM01WH マクスゼン （消費税率10％） （注文番号:250-9399195-8687831）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9399195-8687831）（適格）,,旅費交通費,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 MAXZEN 冷凍庫 274L 自動霜取り 霜取り不要 ファン式 家庭用 大容量 右開き ノンフロン フリーザー ストッカー 冷凍 スリム 冷凍食品 ストック キッチン家電 アラーム機能 ホワイト JF274HM01WH マクスゼン （消費税率10％） （注文番号:250-9399195-8687831）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9399195-8687831）（適格）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,"【商品本体】 Esei「3年保障」 LED電球 ビーム電球 ビームランプ 180W相当 E26口金 IP65 防水加工 看板照明 長寿命 超軽量 PSE 電球色 (昼光色, 4個セット) [並行輸入品] （消費税率10％） （注文番号:250-9102786-3687004）（適格）",完全一致,,,0,取引を推測する,,,,[並行輸入品] （消費税率10％） （注文番号:250-9102786-3687004）（適格）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 xydled LEDスポットライト E11口金 LED電球 50w形相当 6W 450lm 昼光色 ハロゲン電球 省エネ PSE認証済 (昼光色 ホワイト 6個入り) （消費税率10％） （注文番号:250-9102786-3687004）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-9102786-3687004）（免税）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 （candy88）LED イルミネーションライト LEDストリングスライト 200球 20m コンセント式 防水 防塵仕様 点滅 点灯 8パターンフェアリーライト 調光可能 屋内・屋外兼用 LEDクリスマス装飾 新年 (マルチカラー) （消費税率10％） （注文番号:250-9102786-3687004）（適格）,完全一致,,,0,取引を推測する,,,,LED イルミネーションライト LEDストリングスライト 200球 20m コンセント式 防水 防塵仕様 点滅 点灯 8パターンフェアリーライト 調光可能 屋内・屋外兼用 LEDクリスマス装飾 新年 (マルチカラー) （消費税率10％） （注文番号:250-9102786-3687004）（適格）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 【大玉ビーズ】 LED イルミネーションライト ソーラー ストリングライト クリスマスツリー飾りらいと 超明るい IP65防水 屋外 室内 20M 200球 8点灯モード 夜間自動点灯 電飾LED フェアリーライト ガーデンらいと おしゃれ ソーラーライト クリスマス バースデー 結婚式 新年 祝日 バレンタインデー 学園祭 パーティー 庭（マルチカラー） （消費税率10％） （注文番号:250-9102786-3687004）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-9102786-3687004）（免税）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 ENDO LEDアウトドアスポットライト LEDZランプJDR用 JDR110V50W相当 ダークグレー 防雨形 ERS4013H （ランプ別売） （消費税率10％） （注文番号:250-0716139-8049465）（適格）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-0716139-8049465）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 大光電機(DAIKO) LEDアウトドアスポット (ランプ別売) LEDビームランプ 11.7W(E26)×1灯|LEDビームランプ 7.1W(E26)×1灯 DOL-3766XB （消費税率10％） （注文番号:250-7459184-6540617）（適格）,完全一致,,,0,取引を推測する,,,,LEDアウトドアスポット (ランプ別売) LEDビームランプ 11.7W(E26)×1灯|LEDビームランプ 7.1W(E26)×1灯 DOL-3766XB （消費税率10％） （注文番号:250-7459184-6540617）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 led直管蛍光灯 ベースライト 器具一体型 40w 120cm 超高輝度LED蛍光灯 天井照明 80W形 3列チップ 3灯相当 学校 倉庫 仕事場 工事用ライト (1本) （消費税率10％） （注文番号:250-4793312-2503047）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-4793312-2503047）（免税）,,地代家賃,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,,,【割引】 5段ステンレススチール製ベーカリーラック、業務用ベーキングトレイラック、ストレージ冷却ラック、食品トレイ、冷蔵庫内部棚、キッチン、レストラン、カフェテリア、デザートショップ用バンパンラック （消費税率10％） （注文番号:250-3565750-7243023）（免税）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3565750-7243023）（免税）,,接待交際費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 5段ステンレススチール製ベーカリーラック、業務用ベーキングトレイラック、ストレージ冷却ラック、食品トレイ、冷蔵庫内部棚、キッチン、レストラン、カフェテリア、デザートショップ用バンパンラック （消費税率10％） （注文番号:250-3565750-7243023）（免税）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3565750-7243023）（免税）,,接待交際費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 5段ステンレススチール製ベーカリーラック、業務用ベーキングトレイラック、ストレージ冷却ラック、食品トレイ、冷蔵庫内部棚、キッチン、レストラン、カフェテリア、デザートショップ用バンパンラック （消費税率10％） （注文番号:250-3565750-7243023）（免税）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3565750-7243023）（免税）,,接待交際費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Coizabera LEDシーリングライト 10畳 5200lm 間接光RGBカラー & 調光調色 極薄型 天井照明器具 おしゃれ 電気 蛍光灯 雰囲気ライト リモコン付き 8畳 10畳 寝室/リビング/ダイニング/子供部屋/ゲームルーム/エンターテイメントエリア/店舗 適用 （消費税率10％） （注文番号:250-9343433-8783830）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9343433-8783830）（適格）,,水道光熱費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,"【商品本体】 フロアタイル フローリングマット 大理石調 貼るだけ 接着剤不要 457*457mm 厚手1.8mm 【125枚セット 約16畳】初心者向け 床材 シール 北欧スタイル 防水 防音 厚手 滑り防止 フロアシート 土足OK 初心者OK フロア タイル DIY 床材 浴室 玄関 廊下（新しいカラー,21） （消費税率10％） （注文番号:250-4163108-0554242）（免税）",完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-4163108-0554242）（免税）,,仕入高,課対仕入8%（軽）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 「Coizabera」LEDシーリングライト 6畳~8畳 32W 3800lm おしゃれ 調光調色&間接光RGBカラー 雰囲気ライト 薄型 天井照明器具 リモコン付き スマホAPP対応 電気 蛍光灯 Ceiling Light 6畳 8畳 寝室/子供部屋/ゲームルーム適用 3年保証 （消費税率10％） （注文番号:250-6526463-7727824）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-6526463-7727824）（適格）,,水道光熱費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,,,【割引】 CLEANHOME ほうき ちりとり セット 立て式掃除セット ほうき 室内 屋外 コンパクト 収納可能 132cm調節可能 ノブ付き 自立式 防風式 軽量 腰曲げず 掃除可能 清掃用品 アウトドア 玄関 ガーデニング 庭 美容室 コンビニ ベランダ掃除 （グレー） （消費税率10％） （注文番号:250-7858570-5787865）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-7858570-5787865）（免税）,,外注費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 CLEANHOME ほうき ちりとり セット 立て式掃除セット ほうき 室内 屋外 コンパクト 収納可能 132cm調節可能 ノブ付き 自立式 防風式 軽量 腰曲げず 掃除可能 清掃用品 アウトドア 玄関 ガーデニング 庭 美容室 コンビニ ベランダ掃除 （グレー） （消費税率10％） （注文番号:250-7858570-5787865）（免税）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-7858570-5787865）（免税）,,外注費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 掃除機 コードレス 【105kPa真超強力吸引！・ADS（AI Dust Sensor）・自立式 2026衝撃的デビュー！】Airpher コードレス掃除機 強力 60分連続運転 着脱式バッテリー 自走式 LED液晶ディスプレイ 軽量 低騒音 伸縮パイプ 7重濾過システム 3H急速充電 hepaフィルター 1L集塵 壁掛け収納 充電式 LEDライト付 ソファー/卓上/本棚/車 3年保証 プレゼント （消費税率10％） （注文番号:250-3255560-3023805）（免税）,完全一致,,,0,取引を推測する,,,,・自立式 2026衝撃的デビュー！】Airpher コードレス掃除機 強力 60分連続運転 着脱式バッテリー 自走式 LED液晶ディスプレイ 軽量 低騒音 伸縮パイプ 7重濾過システム 3H急速充電 hepaフィルター 1L集塵 壁掛け収納 充電式 LEDライト付 ソファー/卓上/本棚/車 3年保証 プレゼント （消費税率10％） （注文番号:250-3255560-3023805）（免税）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Coizabera LEDシーリングライト 10畳 5200lm 間接光RGBカラー & 調光調色 極薄型 天井照明器具 おしゃれ 電気 蛍光灯 雰囲気ライト リモコン付き 8畳 10畳 寝室/リビング/ダイニング/子供部屋/ゲームルーム/エンターテイメントエリア/店舗 適用 （消費税率10％） （注文番号:250-9445461-4091810）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9445461-4091810）（適格）,,水道光熱費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 【HARDURA】作業台 業務用 調理台ステンレステーブル W60.96×H121.92×D86.36cm 厨房作業台 業務用ステンレス作業台ヘビーデューティコマーシャル、アンダーテキバックスプラッシュ付きレストランキッチンホームとホテル用 （消費税率10％） （注文番号:250-9445461-4091810）（免税）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9445461-4091810）（免税）,,接待交際費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 SA アルミ プレス天板 8枚取 極浅 WTV58081 （消費税率10％） （注文番号:250-9049939-4615062）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9049939-4615062）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,ヤオコー川口本町店,完全一致,,,0,取引を推測する,,,,ヤオコー川口本町店,,新聞図書費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,,,【割引】 [Friendship] 衛生キャップ 衛生帽 9枚セット 作業帽 調理キャップ 飲食店 調理帽子 給食用 厨房 メーカ 通気性 コットン ハーフネット 衛生帽子 男女兼用 （消費税率10％） （注文番号:250-3417663-5586205）（免税）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3417663-5586205）（免税）,,接待交際費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 [Friendship] 衛生キャップ 衛生帽 9枚セット 作業帽 調理キャップ 飲食店 調理帽子 給食用 厨房 メーカ 通気性 コットン ハーフネット 衛生帽子 男女兼用 （消費税率10％） （注文番号:250-3417663-5586205）（免税）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3417663-5586205）（免税）,,接待交際費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 BriSunshine フライヤー 電気 5L 卓上フライヤー 業務用 3つバスケット付 60℃-200℃温度調節 100Ⅴ 1400W 揚げ物 天ぷら 唐揚げバスケット付き 省スペース ステンレス鋼 防錆性あり お手入れ簡単 家庭用/ギョウムヨウ （消費税率10％） （注文番号:250-8312671-0267827）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-8312671-0267827）（適格）,該当しない,旅費交通費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,,,Vデビット AMAZON CO JP 1A063004,部分一致,,,0,取引を登録する,,,,Vデビット AMAZON CO JP 1A063004,,消耗品費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 岡元木材 ペール缶 20L白 （消費税率10％） （注文番号:250-2268227-9261407）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-2268227-9261407）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 Tendak iPad 壁掛け スタンド タブレット 壁掛けスタンド ipad ホルダーアーム 2段 折り畳み式 タブレットホルダー 壁 360度調整可能 4.7～13.5インチ対応 取り付け 最大延長43cm キッチン/書斎/会議室/学校 省スペース （消費税率10％） （注文番号:250-9931570-3919051）（免税）,完全一致,,,0,取引を推測する,,,,（注文番号:250-9931570-3919051）（免税）,,会議費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 柴田科学 AV試験紙 50入り（080570-55） （消費税率10％） （注文番号:250-8234534-6287805）（適格）,完全一致,,,0,取引を推測する,,,,（消費税率10％） （注文番号:250-8234534-6287805）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
