収支区分,取引口座,カードラベル,取引内容,マッチ条件,金額（最小値）,金額（最大値）,優先度,マッチ後のアクション,振替口座,取引テンプレート,取引先,適格請求書等,勘定科目,税区分,品目,部門,メモタグ（複数指定可・カンマ区切り）,セグメント1,セグメント2,セグメント3,備考,消込を実行する際の差額,差額金額の設定（消込の過小入金・出金）,勘定科目（消込の過小入金・出金）,税区分（消込の過小入金・出金）,品目（消込の過小入金・出金）,部門（消込の過小入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金）,セグメント1（消込の過小入金・出金）,セグメント2（消込の過小入金・出金）,セグメント3（消込の過小入金・出金）,備考（消込の過小入金・出金）,勘定科目（消込の過小入金・出金の複合差額）,税区分（消込の過小入金・出金の複合差額）,品目（消込の過小入金・出金の複合差額）,部門（消込の過小入金・出金の複合差額）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金の複合差額）,セグメント1（消込の過小入金・出金の複合差額）,セグメント2（消込の過小入金・出金の複合差額）,セグメント3（消込の過小入金・出金の複合差額）,備考（消込の過小入金・出金の複合差額）,差額金額の設定（消込の過剰入金・出金）,勘定科目（消込の過剰入金・出金）,税区分（消込の過剰入金・出金）,品目（消込の過剰入金・出金）,部門（消込の過剰入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過剰入金・出金）,セグメント1（消込の過剰入金・出金）,セグメント2（消込の過剰入金・出金）,セグメント3（消込の過剰入金・出金）,備考（消込の過剰入金・出金）
収入,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ＳＡＦＥＫＥＹポイント充当分,部分一致,,,0,取引を登録する,,,アメリカン・エキスプレス・ジャパン㈱,取引先情報に準拠,雑収入,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾀﾞｲﾄﾞｳｾｲﾒｲ,部分一致,,,0,取引を登録する,,,大同生命保険㈱,取引先情報に準拠,保険料,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾎｹﾝﾘﾖｳ   ｾﾞﾝﾎｳﾚﾝ,部分一致,,,0,取引を登録する,,,,該当しない,保険料,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶ)ﾄ-ｴﾙ,部分一致,,,0,取引テンプレートを推測する,,トーエル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｵﾘﾂｸｽ (ｶ,部分一致,,,0,取引を登録する,,,オリックス㈱,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人） 秦野支店 当座 ***3179,,EMｼｽﾃﾑｽﾞ,部分一致,,,0,取引を登録する,,,㈱イーエムシステムズ,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾐﾂﾑﾗ(ｶ,部分一致,,,0,取引を登録する,,,美津村㈱,取引先情報に準拠,仕入高,課対仕入8%（軽）,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,横浜（法人）（API）*1434,,ﾔﾏﾄｳﾝﾕ(ｶ,部分一致,,,0,取引テンプレートを推測する,,e-コレクト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾘｺ-ﾘ-ｽ (ｶ,部分一致,,,0,取引を登録する,,,リコーリース㈱,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｾｿﾞﾝ)ﾘ-ｽ,部分一致,,,0,取引を登録する,,,セゾン,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｷﾕｳｷﾞﾖｳ,部分一致,,,0,取引を登録する,,,,該当しない,保険料,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ＮＴＴドコモビジネスご利用料金,部分一致,,,0,取引を登録する,,,NTTドコモビジネス㈱,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,IBﾌﾘｺﾐ   ｶ)ｷﾖｳｴｲｼﾖｳｼﾔ,部分一致,1500,5400,1,取引を推測する,,,,該当しない,雑費,課対仕入,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｺｳｻﾞﾌﾘｶｴ ｱﾌﾗﾂｸAPS,部分一致,56000,57000,1,取引を推測する,,,,該当しない,保険料,対象外,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾊﾞﾙﾃｯｸ,部分一致,5800,1400000,1,取引を推測する,,,㈱バルテック,取引先情報に準拠,消耗品費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｱﾝｻﾞｲﾋﾞﾙ ﾀﾞｲﾋﾖｳ ｱﾝｻﾞｲ ﾔｽﾋｺ,部分一致,,,0,取引を登録する,,,,該当しない,地代家賃,課対仕入,,,"",,,,藤沢店/家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,, ｶ)ﾄ-ﾕ-ﾊﾟﾂｸ,部分一致,,,0,取引を推測する,,,㈱トーユーパック,取引先情報に準拠,広告宣伝費,課対仕入10%,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,(ﾕ)ﾋﾛｺ-ﾎﾟﾚ-ｼﾖﾝ ｲﾅﾊﾞ ｼﾞﾕﾝｲﾁ,部分一致,,,0,取引を推測する,,,(有)ヒロコーポレーション,取引先情報に準拠,消耗品費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｾﾞﾛﾒﾃﾞｲｶ,部分一致,,,0,取引を推測する,,,(株)ゼロメディカル,取引先情報に準拠,広告宣伝費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶ)ﾌｱｲﾝｽﾞ,部分一致,,,0,取引を推測する,,,㈱ファインズ,取引先情報に準拠,広告宣伝費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾆﾎﾝﾔｸｼﾖｸ(ｶ,部分一致,,,0,取引を推測する,,,日本薬食㈱,取引先情報に準拠,仕入高,課対仕入8%（軽）,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｼﾔ-ﾌﾟﾌｱｲﾅﾝｽ,部分一致,,,0,取引を推測する,,,シャープファイナンス㈱,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾐﾂｲｽﾐﾄﾓFL(SMFL,部分一致,,,0,取引を推測する,,,三井住友ファイナンス＆リース㈱,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,BMWJF,部分一致,,,0,取引を登録する,,,BMWジャパンファイ ナンス㈱,取引先情報に準拠,長期未払金,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,かながわ信金（法人）（API）,,証書貸付　　　　　　　,部分一致,100000,110000,0,取引テンプレートを推測する,,かながわ②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,かながわ信金（法人）（API）,,証書貸付　　　　　　　,部分一致,100000,109000,0,取引テンプレートを推測する,,かながわ①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶ)ｵﾙｸｽｱﾄﾞ,部分一致,,,0,取引を推測する,,,㈱ＡＬＬＸＡＤ,取引先情報に準拠,広告宣伝費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｿｳｷﾝ     ｵｲｶﾜ ｾﾝｼﾞ,部分一致,10000,10000,1,取引を推測する,,,,該当しない,地代家賃,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人） 秦野支店 当座 ***3179,,ｺｳｻﾞﾌﾘｶｴ SMBC(EMｼｽﾃﾑｽﾞ,部分一致,17000,45000,1,取引を推測する,,,,該当しない,リース料,課対仕入,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶ)ｷﾖｳｴｲｼﾖｳｼﾔ,部分一致,,,0,取引を推測する,,,(株)共栄商社,取引先情報に準拠,雑費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,かながわ信金（法人）（API）,,　　　　　　　　　　　ミツイスミトモＦＬ（ＳＭＦ,部分一致,,,0,取引を登録する,,,三井住友ファイナンス＆リース㈱,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶ.ﾉｸﾞﾁｿｳｺﾞｳｹﾝｷﾕｳｼﾖ,部分一致,,,0,取引テンプレートを推測する,,仕入高,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶ)ﾕｳﾘﾝﾄﾞｳｱｽｸ,部分一致,,,0,取引を推測する,,,㈱有隣堂,取引先情報に準拠,消耗品費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶﾅｶﾞﾜｹｲｷﾞﾖｸｶｲ,部分一致,,,0,取引を推測する,,,神奈川瓊玉会,取引先情報に準拠,諸会費,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,, MHF)ｻﾄｳｾｲﾔｸ,部分一致,,,0,取引を推測する,,,佐藤製薬㈱,取引先情報に準拠,仕入高,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,DF.JPSｶｲﾋ,部分一致,,,0,取引を推測する,,,日本薬局製剤研究会,取引先情報に準拠,諸会費,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｶﾅｶﾞﾜﾃﾞﾝﾄｳｼﾖｳﾔｸｹﾝｷﾕｳｶｲ ﾓｸｼ,部分一致,,,0,取引を推測する,,,木心会,取引先情報に準拠,諸会費,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ＫＩＮＴＯご利用料　愛知県　名古屋市西,部分一致,,,0,取引を推測する,,,㈱ＫＩＮＴＯ,取引先情報に準拠,車両費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,【ＢｔｏＢ】アスクル　東京都　江東区　,部分一致,,,0,取引を推測する,,,アスクル㈱,取引先情報に準拠,消耗品費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ラクスル株式会社〔ＢｔｏＢ〕　東京都　,部分一致,,,0,取引を推測する,,,ラクスル㈱,取引先情報に準拠,広告宣伝費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ピーシーデポ　バリューパック　－神奈川,部分一致,,,0,取引を推測する,,,㈱ピーシーデポコーポレーション,取引先情報に準拠,消耗品費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ジャストシステム　ダイレクト販売　徳島,部分一致,,,0,取引を推測する,,,㈱ジャストシステム,取引先情報に準拠,支払手数料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,アメリカン・エキスプレス - ビジネス・カード（API）,アメリカン・エキスプレス・ビジネス・ゴールド・カード 1008,ｆｒｅｅｅ　東京都　品川区　　　　　　,部分一致,,,0,取引を推測する,,,フリー㈱,取引先情報に準拠,通信費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,(ｶ)ﾊﾞﾙﾃﾂｸ,部分一致,,,0,取引を推測する,,,㈱バルテック,取引先情報に準拠,事務用品費,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人） 秦野支店 当座 ***3179,,ｼﾔ-ﾌﾟﾌｱｲﾅﾝｽ,部分一致,,,0,取引を推測する,,,シャープファイナンス㈱,取引先情報に準拠,リース料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ﾆﾎﾝｾ-ﾌﾃｲ- (ｶ,部分一致,,,0,取引を登録する,,,,該当しない,地代家賃,非課仕入,社宅賃料,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,横浜（法人）（API）*1434,,ｽｸｴｱ(ｶ,部分一致,,,0,取引テンプレートを推測する,,Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,ｾﾞｲﾘｼﾎｳｼﾕｳ,部分一致,,,0,取引を登録する,,,あしたの会計事務所,該当する,支払手数料,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,かながわ信金（法人）（API）,,証書貸付　　　　　　　,部分一致,177000,255200,0,取引テンプレートを推測する,,かながわ①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,横浜（法人）（API）*1434,,ｼﾞﾄﾞｳｷ,部分一致,,,0,取引を推測する,,,,該当しない,売掛金,対象外,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,横浜（法人）（API）*1434,,IBﾌﾘｺﾐ   ｱﾝｻﾞｲ ﾔｽﾋｺ,部分一致,,,0,取引を登録する,,,安斎 靖彦,取引先情報に準拠,地代家賃,課対仕入,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
